0,1
../Datasets/images/image_185.jpg,"ग १ ख 
५८९६"
../Datasets/images/image_180.jpg,"ना.४ ख 
७६३७"
../Datasets/images/image_309.jpg,ना.१ ज ६४६१
../Datasets/images/image_429.jpg,प्र.२-0३00१ च ३२९३
../Datasets/images/image_530.jpg,"बा ६३ प 
९४९६"
../Datasets/images/image_286.jpg,"प्रदेश-३-०३ 
७१५७"
../Datasets/images/image_58.jpg,"बा ६५ प 
२०६५"
../Datasets/images/image_263.jpg,बा. ७ ७ प ७ ४६६
../Datasets/images/image_151.jpg,प्रदेश-३-0१-0२४च ७८९१
../Datasets/images/image_402.jpg,"ना ५ ख 
५९0७"
../Datasets/images/image_319.jpg,"बा.६५ प 
३७२८"
../Datasets/images/image_282.jpg,"प्रदेश 0-0१-00३ 
क ४५५४"
../Datasets/images/image_516.jpg,प्रदेश ०३-00१च ४
../Datasets/images/image_82.jpg,"बा ८६ प 
६९९0"
../Datasets/images/image_371.jpg,"बा.८३प 
४५२९"
../Datasets/images/image_454.jpg,"प्रदेश ३-0२
0 १0 0 
९0३२"
../Datasets/images/image_499.jpg,"लु ५१ प 
५५९७"
../Datasets/images/image_210.jpg,ग ३ च ७७४
../Datasets/images/image_441.jpg,"ग१५प 
४५४३"
../Datasets/images/image_583.jpg,"बा १९ च 
४८४0"
../Datasets/images/image_394.jpg,"ग.१५प 
८२८१"
../Datasets/images/image_456.jpg,"ना.२२प 
३१७३"
../Datasets/images/image_405.jpg,"बा.११च 
४८४0"
../Datasets/images/image_434.jpg,ग.१ ख ८९0२
../Datasets/images/image_538.jpg,बा.१0च ६७१९
../Datasets/images/image_575.jpg,बा १४च ४२९२
../Datasets/images/image_392.jpg,ग.१ ६ प ६९९
../Datasets/images/image_305.jpg,"बा २ ख 
७१३८"
../Datasets/images/image_257.jpg,"ग १९ प 
९९९६"
../Datasets/images/image_76.jpg,ना ५ ख ४२४४
../Datasets/images/image_124.jpg,"ग. १ ख 
७६६५"
../Datasets/images/image_531.jpg,ग.१च ९७२१
../Datasets/images/image_485.jpg,बा ६-४प ७८१९
../Datasets/images/image_105.jpg,"बा. १६ च      बा. १६ च 
४३६३           ४३६३"
../Datasets/images/image_85.jpg,"ना ४ प 
३२८२"
../Datasets/images/image_404.jpg,ना १ झ १0४१
../Datasets/images/image_235.jpg,"ना. २७ प
१0५"
../Datasets/images/image_72.jpg,"ना ५ च 
२७०८"
../Datasets/images/image_238.jpg,"ना.५ ख 
६३३४"
../Datasets/images/image_152.jpg,"को. १ च 
६९२९"
../Datasets/images/image_508.jpg,"लु.२ख 
५२४६"
../Datasets/images/image_443.jpg,"बा६८प 
८९९८"
../Datasets/images/image_312.jpg,"ग.१४ प 
३१७"
../Datasets/images/image_333.jpg,ग ३च १७२७
../Datasets/images/image_325.jpg,बा.२१च १२१२
../Datasets/images/image_341.jpg,"ग १ ज 
२000"
../Datasets/images/image_503.jpg,"प्रदेश ३-०१ 
00२प ६८६३"
../Datasets/images/image_517.jpg,ग.१ ख  ९४८८
../Datasets/images/image_418.jpg,"ना.५ख 
३७२३"
../Datasets/images/image_326.jpg,"या. १ झ 
६३९८"
../Datasets/images/image_171.jpg,"बा.२ ख 
१९९८"
../Datasets/images/image_536.jpg,ना.८ प ९८१५
../Datasets/images/image_298.jpg,"लु ४५ प 
१५४९"
../Datasets/images/image_275.jpg,"बा २ ज 
४७८९"
../Datasets/images/image_187.jpg,"ना ५ ख 
५५११"
../Datasets/images/image_361.jpg,"ग २0 प 
३१६४"
../Datasets/images/image_593.jpg,"बा ३ ख 
४२६0"
../Datasets/images/image_279.jpg,"बा २ ख 
६00२"
../Datasets/images/image_141.jpg,"ग ११ प 
९२७४"
../Datasets/images/image_398.jpg,"ग २ च 
६९८१"
../Datasets/images/image_280.jpg,"बा. ३ ख 
८६८२"
../Datasets/images/image_417.jpg,बा.२0च ५७२४
../Datasets/images/image_140.jpg,"बा ६१ प 
५५६0"
../Datasets/images/image_395.jpg,"बा ४ ख 
४२७९"
../Datasets/images/image_278.jpg,"ना. ३१प 
८४0४"
../Datasets/images/image_578.jpg,"प्रदेश-३-0२ 
00५  प 
0९४२"
../Datasets/images/image_264.jpg,"ना. ४३ प
३९१६"
../Datasets/images/image_306.jpg,"ग.१७प 
६३३३"
../Datasets/images/image_369.jpg,"ना ८ ख 
५८४५"
../Datasets/images/image_251.jpg,"ग ७ प
४0५१"
../Datasets/images/image_164.jpg,"ना १४ प 
२६४"
../Datasets/images/image_36.jpg,ग.१ ख ४४८३
../Datasets/images/image_248.jpg,"बा प्र 0२-0१७ 
३१९१"
../Datasets/images/image_544.jpg,बा १२ च ९४२0
../Datasets/images/image_94.jpg,"ग. २ ख 
५७"
../Datasets/images/image_54.jpg,मे.१च१९४२
../Datasets/images/image_284.jpg,बा. १ प ९ ९ १
../Datasets/images/image_3.jpg,ग १ ६ प १ ८ ३
../Datasets/images/image_113.jpg,बा.१प १३२९
../Datasets/images/image_79.jpg,"ना.२ ख 
८२९५"
../Datasets/images/image_194.jpg,ग.१ ज ६0७१
../Datasets/images/image_56.jpg,"ग १ ख 
५०३८"
../Datasets/images/image_334.jpg,ना.१ज ६२९८
../Datasets/images/image_375.jpg,"ग.१ ख 
४५६२"
../Datasets/images/image_572.jpg,"ना.५९प 
८११४"
../Datasets/images/image_437.jpg,"ना ३६ प 
९४0"
../Datasets/images/image_293.jpg,"प्रदेश-३-0२ 
00९-प 
३२६३"
../Datasets/images/image_130.jpg,"ग ३ च 
३५७३"
../Datasets/images/image_271.jpg,ग १ ८प३ ५८६
../Datasets/images/image_230.jpg,"ग १ झ 
४४९"
../Datasets/images/image_87.jpg,बा १८ प ८५२
../Datasets/images/image_148.jpg,"बागमती प्रदेश 0३ 
0१८ प 
१३९८"
../Datasets/images/image_200.jpg,"बा १५ व 
६२६७"
../Datasets/images/image_207.jpg,ग.१ क ५१५८
../Datasets/images/image_358.jpg,"बा.३ख 
६८९"
../Datasets/images/image_239.jpg,"ना २ ख 
८६२२"
../Datasets/images/image_29.jpg,"ग.१२प 
३३५८"
../Datasets/images/image_170.jpg,"बा ३६ प 
१८१८"
../Datasets/images/image_459.jpg,"ना.  ६ ख 
७८७"
../Datasets/images/image_331.jpg,"ना.१ज 
४३८२"
../Datasets/images/image_389.jpg,"ना.६ख 
४१२"
../Datasets/images/image_299.jpg,"लु १ ख 
७६६१"
../Datasets/images/image_599.jpg,बा. १६च ६४९८
../Datasets/images/image_411.jpg,"बा.२0च
४२८"
../Datasets/images/image_465.jpg,"बा.प.0३ 
00२ प 
९६५७"
../Datasets/images/image_40.jpg,"बा. १७ च 
२९१९"
../Datasets/images/image_594.jpg,"बा. १६ च 
३१२५"
../Datasets/images/image_121.jpg,"बा १२ च 
३00४"
../Datasets/images/image_426.jpg,ग.२च ९४५0
../Datasets/images/image_17.jpg,बा प्र 0 ३ ०३प्र ९२८४
../Datasets/images/image_545.jpg,"ग २४ प 
७३६२"
../Datasets/images/image_474.jpg,ना.८ख ५३६६
../Datasets/images/image_391.jpg,बा.५ ख २८६८
../Datasets/images/image_596.jpg,"ग १ ख 
९६२९"
../Datasets/images/image_294.jpg,ना.५ख ६३३७
../Datasets/images/image_26.jpg,"ना. ५ ख 
९७३८"
../Datasets/images/image_380.jpg,ग१ज६१३१
../Datasets/images/image_313.jpg,"ग २ च 
५६६"
../Datasets/images/image_316.jpg,"ग १ ख 
३९१६"
../Datasets/images/image_246.jpg,"ग ३ च 
२८१४"
../Datasets/images/image_473.jpg,"बा ८९प 
५५४0"
../Datasets/images/image_374.jpg,"ग.१ ख 
९६५४"
../Datasets/images/image_10.jpg,"ना.२ च 
९८९७"
../Datasets/images/image_24.jpg,ग.१क ३९२५
../Datasets/images/image_287.jpg,"ग ३ च 
३२४५"
../Datasets/images/image_1.jpg,ना ६ ख २ ३ - ५  ३
../Datasets/images/image_500.jpg,"बा.१ ज 
१८९८"
../Datasets/images/image_307.jpg,बा.८च ६६२३
../Datasets/images/image_527.jpg,ना.४ख ७७७५
../Datasets/images/image_51.jpg,बा. २१ च ३५२३
../Datasets/images/image_48.jpg,"ना. ६ ख 
६७८"
../Datasets/images/image_471.jpg,ग.१ ख ९९७९
../Datasets/images/image_89.jpg,"प्र २ 0३ 00१ ख 
२४९०"
../Datasets/images/image_220.jpg,"बा ५ ख 
१0७५"
../Datasets/images/image_428.jpg,ग२च ७२१९
../Datasets/images/image_420.jpg,बा.१३ च  ३८६४
../Datasets/images/image_498.jpg,"ग १२ प 
८१३६"
../Datasets/images/image_201.jpg,"ना. ५ ख 
७१५ २"
../Datasets/images/image_488.jpg,"ग १ ख 
७१४५"
../Datasets/images/image_163.jpg,"ग १ २१ 
९७०४"
../Datasets/images/image_514.jpg,बा १0 च २५७
../Datasets/images/image_196.jpg,ग १ ख ९५६२
../Datasets/images/image_225.jpg,ग.१ ख ९७०८
../Datasets/images/image_165.jpg,"ना ३६१ 
१२८७"
../Datasets/images/image_452.jpg,बा.१0 च ८५३६
../Datasets/images/image_28.jpg,"बा.४ ख.
१६४५"
../Datasets/images/image_421.jpg,ग.१ ख ६१७२
../Datasets/images/image_146.jpg,"ना.५९प 
१८७९"
../Datasets/images/image_270.jpg,"ग १ प 
१0४0"
../Datasets/images/image_119.jpg,ग.१ ख ७८०७
../Datasets/images/image_67.jpg,"ग १८ प 
११८९"
../Datasets/images/image_178.jpg,"ना ४६ प 
१३४२"
../Datasets/images/image_247.jpg,"को. ३३प 
२१८३"
../Datasets/images/image_386.jpg,"ग २ च 
५४६३"
../Datasets/images/image_472.jpg,बा०१५ च  ६०३४
../Datasets/images/image_147.jpg,प्रदेश ३ -0३-00१प ८0४८
../Datasets/images/image_23.jpg,"बा ३ ८ प 
३८९७"
../Datasets/images/image_566.jpg,"ना १६ प
२६८७"
../Datasets/images/image_64.jpg,"बा १५ च 
९ ६ ८"
../Datasets/images/image_403.jpg,ग२च३४१८
../Datasets/images/image_5.jpg,"ग १ ज 
२३0१"
../Datasets/images/image_587.jpg,"वा ३ ख 
४४४४"
../Datasets/images/image_522.jpg,प्र ३0२ 00२प २६५१
../Datasets/images/image_558.jpg,"बा.३४प 
४२१४"
../Datasets/images/image_281.jpg,"ना. ६ ख 
९ ५ ५ 0"
../Datasets/images/image_501.jpg,"बा.३ ख 
४६५८"
../Datasets/images/image_492.jpg,"बा.२१ च 
६0९0"
../Datasets/images/image_159.jpg,ना ६ ख ९५३७
../Datasets/images/image_354.jpg,ग१ज२४११
../Datasets/images/image_116.jpg,"बा.७५८ 
६११३"
../Datasets/images/image_77.jpg,"बा.५ ख 
४८५९"
../Datasets/images/image_295.jpg,प्रदेश २-0३-00१च १८३८
../Datasets/images/image_37.jpg,"बा १० च 
९०८१"
../Datasets/images/image_132.jpg,"ग. १0 प 
२८६४"
../Datasets/images/image_424.jpg,"ना.५ ख 
१५९"
../Datasets/images/image_384.jpg,"ना.६ ख 
१0४२"
../Datasets/images/image_39.jpg,"बा ८९ प 
५०३५"
../Datasets/images/image_137.jpg,बा ६ च ९८६३
../Datasets/images/image_335.jpg,"बा १ ज 
८८४९"
../Datasets/images/image_542.jpg,"बा.६५प 
७0४६"
../Datasets/images/image_231.jpg,बा.२ झ ४४७९
../Datasets/images/image_45.jpg,ना ८ ख ७१९४
../Datasets/images/image_410.jpg,"ना.१ क 
२९५८"
../Datasets/images/image_75.jpg,"ना ५ ख 
४८८५"
../Datasets/images/image_323.jpg,"बा. ७२ प 
७४१३"
../Datasets/images/image_219.jpg,"बा ४ ख 
२९७0"
../Datasets/images/image_445.jpg,"ना. ५ ख 
८ ७ ९ ५"
../Datasets/images/image_97.jpg,ना. २३प २०६६
../Datasets/images/image_442.jpg,"बा.९९ प 
६८६४"
../Datasets/images/image_482.jpg,"बा.२ क 
९८१३"
../Datasets/images/image_453.jpg,"प्र.३-0१-0२२च 
५१८३"
../Datasets/images/image_241.jpg,"बा २ च 
५२६१"
../Datasets/images/image_511.jpg,"ग १५ प 
८४२६"
../Datasets/images/image_476.jpg,"ना.६ख 
१५७९"
../Datasets/images/image_153.jpg,"बा. ४ ख 
५१८२"
../Datasets/images/image_2.jpg,ना. ४  च ८ ३ ९ 0
../Datasets/images/image_98.jpg,"बा २ व 
१४६२"
../Datasets/images/image_582.jpg,"ग.१२ प
८३0१"
../Datasets/images/image_128.jpg,"ग १ क 
४८४६"
../Datasets/images/image_139.jpg,"बा. २ ख 
३६८२"
../Datasets/images/image_184.jpg,"बागमती प्रदेश 0३
00३प 
३६९"
../Datasets/images/image_540.jpg,बा३३प  १८५
../Datasets/images/image_535.jpg,"प्रदेश ३-०१ ०२४व 
५७०९"
../Datasets/images/image_197.jpg,ना ७ ख ८९९६
../Datasets/images/image_381.jpg,"बा.९२ प 
९४५0"
../Datasets/images/image_186.jpg,बा.२ झा १0६८
../Datasets/images/image_145.jpg,प्रदेश-३-0१-0२४च७८९२
../Datasets/images/image_597.jpg,ग १ ख ५२४0
../Datasets/images/image_73.jpg,"बा १३ च 
९०९१"
../Datasets/images/image_160.jpg,"ग ३ च 
६६२"
../Datasets/images/image_49.jpg,"बा.९१ प 
९३३२"
../Datasets/images/image_393.jpg,"ग.१६प 
६९९"
../Datasets/images/image_198.jpg,"ना. २९ प 
८५३७"
../Datasets/images/image_447.jpg,"ग ३ च 
१३३३"
../Datasets/images/image_336.jpg,ग १ ख ६६0५
../Datasets/images/image_467.jpg,"ना ५ ख 
५४४७"
../Datasets/images/image_576.jpg,"ग.१५प 
८१0६"
../Datasets/images/image_288.jpg,"बा २ ख 
७४९१"
../Datasets/images/image_468.jpg,"बा ३ ख 
१७५२"
../Datasets/images/image_214.jpg,बा.८च ९0३६
../Datasets/images/image_486.jpg,"ग १ ख 
९७८३"
../Datasets/images/image_123.jpg,"ना. प क 
३६४०"
